id	label	type
tspan-city598	Memphis	city
tspan-city600	Jerusalem	city
tspan-city602	Mizpah	city
tspan-city604	Babylon	city
tspan-city606	Asshur	city
tspan-city608	Arbela	city
tspan-city610	Haran	city
tspan-city612	Aleppo	city
tspan-city614	Tiphsah	city
tspan-city616	Rezeph	city
tspan-city618	Hamath	city
tspan-city620	Carchemish	city
tspan-city622	Nippur	city
tspan-city624	Erech	city
tspan-city626	Susa	city
tspan-city628	Ecbatana	city
tspan-city630	Ur	city
tspan-city632	Nineveh	city
tspan-city634	Damascus	city
tspan-city636	Tadmor	city
tspan-city638	Byblos	city